بنکەفراوان,بنکەفراوان,binkefirawan,binkefirawan,ADJ,ADJ,«بنکەفراوان»[ADJ],حکومەتی بنکەفراوان ناتوانێ وەڵامدەرەوەی خواست و ئومێدەکانی خەڵک بێت,4,بنکەفراوان@بنکەفراوان@ADJ,binkefirawan@binkefirawan@ADJ
ژێردەریایی,ژێردەریایی,jêrderyayî,jêrderyayî,ADJ,ADJ,«ژێردەریایی»[ADJ],وا دیارە ئەقیانۆسی هیندی زۆر قووڵە بۆ ڕۆبۆتی ژێردەریایی,11,ژێردەریایی@ژێردەریایی@ADJ,jêrderyayî@jêrderyayî@ADJ
ئەستەم,ئەستەم,estem,estem,ADJ,ADJ,«ئەستەم»[ADJ],وەک چۆن ئیشکردنی پێکەوەیی ڕۆشنبیر و سیاسی بۆتە ئەستەم.,81,ئەستەم@ئەستەم@ADJ,estem@estem@ADJ
ئەم,ئەم,em,em,ADJ,ADJ,«ئەم»[ADJ],بووە مایەی ئەوەی ئەم دیدارەی لەگەڵدا ساز بدەم,90,ئەم@ئەم@ADJ,em@em@ADJ
ئەمریکی,ئەمریکی,emrîkî,emrîkî,ADJ,ADJ,«ئەمریکی»[ADJ]{NE=Demonym},بەرەی دژ بە تیرۆریستان لە سەرتاپای جیهان فراوانتر بوو,93,ئەمریکی@ئەمریکی@ADJ,emrîkî@emrîkî@ADJ
ئەمنی,ئەمنی,emnî,emnî,ADJ,ADJ,«ئەمنی»[ADJ],"کەرکوک: سەرەڕای پلانی ئەمنی، سێ تەقینەوە ڕوو دەدات",96,ئەمنی@ئەمنی@ADJ,emnî@emnî@ADJ
بەفەرمی,بەفەرمی,befermî,befermî,ADJ,ADJ,«بەفەرمی»[ADJ],عێراقییە بە فەرمی داوای گۆڕینی مالیکی دەکات,182,بەفەرمی@بەفەرمی@ADJ,befermî@befermî@ADJ
بەناوبانگ,بەناوبانگ,benawbang,benawbang,ADJ,ADJ,«بەناوبانگ»[ADJ],بە پێش چەندین یانەی ئەوڕوپی بەناوبانگ کەوتووە,191,بەناوبانگ@بەناوبانگ@ADJ,benawbang@benawbang@ADJ
بەهێز,بەهێز,behêz,behêz,ADJ,ADJ,«بەهێز»[ADJ],تەقینەوەیەکی بەهێز لە مەهاباد دەیان کوژراو و برینداری لێ کەوتەوە / بە ڤیدیۆ ڕووداوەکە ببینن,194,بەهێز@بەهێز@ADJ,behêz@behêz@ADJ
بێدەنگ,بێدەنگ,bêdeng,bêdeng,ADJ,ADJ,«بێدەنگ»[ADJ],بێدەنگ بێدەنگ کاتژمێرەکەی شاری لەندەن بەبێ چرکە,216,بێدەنگ@بێدەنگ@ADJ,bêdeng@bêdeng@ADJ
پاییزی,پاییزی,payîzî,payîzî,ADJ,ADJ,«پاییزی»[ADJ],بە گوریسی گەردەلوولی پاییزی خۆی لە دار ئەدا,224,پاییزی@پاییزی@ADJ,payîzî@payîzî@ADJ
پرشنگدار,پرشنگدار,pirşingdar,pirşingdar,ADJ,ADJ,«پرشنگدار»[ADJ],خۆڕاگریی کوبانێ و سەرەتای ئایندەیەکی پرشنگدار!,226,پرشنگدار@پرشنگدار@ADJ,pirşingdar@pirşingdar@ADJ
پڕ,پڕ,piř,piř,ADJ,ADJ,«پڕ»[ADJ],"ئەو شوێنە پڕ دار و ڕەزە، لە کەپرێکی خۆش و فێنک دەچوو",232,پڕ@پڕ@ADJ,piř@piř@ADJ
پیرانشاری,پیرانشاری,pîranşarî,pîranşarî,ADJ,ADJ,«پیرانشاری»[ADJ]{NE=Demonym},کوژرانی کەسێکی پیرانشاری لەلایەن بەکرێگیراوانی ڕژێمەوە,243,پیرانشاری@پیرانشاری@ADJ,pîranşarî@pîranşarî@ADJ
پێویست,پێویست,pêwîst,pêwîst,ADJ,ADJ,«پێویست»[ADJ],پێویست بە ئاماژەیە کە وێنە و فیلم گرتنیان تەنانەت بە موبایل تەلەفوونیش قەدەغە کردبووە.,261,پێویست@پێویست@ADJ,pêwîst@pêwîst@ADJ
تار,تار,tar,tar,ADJ,ADJ,«تار»[ADJ],نیگای ڕوون و گەشی ئاسۆی بەیانم لێڵ و تار دی,268,تار@تار@ADJ,tar@tar@ADJ
تاریک,تاریک,tarîk,tarîk,ADJ,ADJ,«تاریک»[ADJ],بمبوورن کە ئەوەندە تاریک دەڕشێمەوە,269,تاریک@تاریک@ADJ,tarîk@tarîk@ADJ
تر,تر,tir,tir,ADJ,ADJ,«تر»[ADJ],جا پیشەوەر بین یان قوتابی یان نووسەر یان مامۆستا یان هەر شتێکی تر.,274,تر@تر@ADJ,tir@tir@ADJ
تەواو,تەواو,tewaw,tewaw,ADJ,ADJ,«تەواو»[ADJ],ئاواتیشی ئەوەیە بتوانێت ئەکادیمیای هونەرەجوانەکان تەواو بکات,288,تەواو@تەواو@ADJ,tewaw@tewaw@ADJ
تووڕە,تووڕە,tûře,tûře,ADJ,ADJ,«تووڕە»[ADJ],تووڕە و جینگزیانە ئالیووشا لە دەمی دەرپەڕی,296,تووڕە@تووڕە@ADJ,tûře@tûře@ADJ
تیرۆریستی,تیرۆریستی,tîrorîstî,tîrorîstî,ADJ,ADJ,«تیرۆریستی»[ADJ],ئەگەر عێراق بە ڕەسمی موجاهیدینەکان بە گرووپێکی تیرۆریستی بناسێنێت,307,تیرۆریستی@تیرۆریستی@ADJ,tîrorîstî@tîrorîstî@ADJ
چ,چ,çi,çi,ADJ,ADJ,«چ»[ADJ],داعش بە چ شێوازێک بارمتەکانی دەفرۆشێت؟,321,چ@چ@ADJ,çi@çi@ADJ
چۆڵ,چۆڵ,çoł,çoł,ADJ,ADJ,«چۆڵ»[ADJ],چۆڵ و کاکی بە کاکی,341,چۆڵ@چۆڵ@ADJ,çoł@çoł@ADJ
خرپن,خرپن,xirpin,xirpin,ADJ,ADJ,«خرپن»[ADJ],پەنجەی خرپن ڕومەت گوپن نەرم و نۆڵە سرک و شەرمن,367,خرپن@خرپن@ADJ,xirpin@xirpin@ADJ
خەیاڵی,خەیاڵی,xeyałî,xeyałî,ADJ,ADJ,«خەیاڵی»[ADJ],قاتە سوورەکەی میسی نرخێکی خەیاڵی هەیە,379,خەیاڵی@خەیاڵی@ADJ,xeyałî@xeyałî@ADJ
خۆڕاگرتن,خۆڕاگر,xořagirtin,xořagir,ADJ,ADJ,«خۆ»«ڕا»«گر»[ADJ]{Agent}{Compound},"هەتا سەر، خۆڕاگر و وەفادار بە ڕێبازی حیزبەکەی مایەوە",392,خۆڕاگرتن@خۆڕاگر@ADJ,xořagirtin@xořagir@ADJ
دارایی,دارایی,darayî,darayî,ADJ,ADJ,«دارایی»[ADJ]{Gradable=No},10 ملیۆن دیناریش سزای دارایی بەسەردا سەپێنرا,406,دارایی@دارایی@ADJ,darayî@darayî@ADJ
دەروونی,دەروونی,derûnî,derûnî,ADJ,ADJ,«دەروونی»[ADJ],کاریگەری سەلبیشی دەبێت بۆ سەر باری جەستەیی و دەروونی و پەیوەندی کۆمەڵایەتی و ئابوریش,445,دەروونی@دەروونی@ADJ,derûnî@derûnî@ADJ
دیکە,دیکە,dîke,dîke,ADJ,ADJ,«دیکە»[ADJ],"لە کاتێکدا کوردستان دوو حیزبی ئیسلامی دیکە و دەیان کەسی بانگخواز و هەزاران مەلا و کەسانی تری ئیسلامیی بێلایەنی تێدایە،",488,دیکە@دیکە@ADJ,dîke@dîke@ADJ
دێموکرات,دێموکرات,dêmukirat,dêmukirat,ADJ,ADJ,«دیموکرات»{NS}[ADJ],بەرپرسی پێوەندییەکانی حیزبی دێموکرات لە دەرەوەی وڵات و ئەندامی کۆمیتەی ناوەندی,493,دێموکرات@دێموکرات@ADJ,dêmukirat@dêmukirat@ADJ
زایۆنی,زایۆنی,zayonî,zayonî,ADJ,ADJ,«زایۆنی»[ADJ],درێژەی کاردانەوەی عێراقییەکان لەمەڕ مەحکومکرانی جەنایاتی ڕژێمی زایۆنی لە غەززە,501,زایۆنی@زایۆنی@ADJ,zayonî@zayonî@ADJ
سادە,سادە,sade,sade,ADJ,ADJ,«سادە»[ADJ],دەستور یاسایەکی ئاسایی نییە کە بە زۆرینەی سادە بەڕێ بکرێت,561,سادە@سادە@ADJ,sade@sade@ADJ
سەقزی,سەقزی,seqizî,seqizî,ADJ,ADJ,«سەقزی»[ADJ]{NE=Demonym},بانگکرانی دوو کەسی سەقزی بۆ دادگا,590,سەقزی@سەقزی@ADJ,seqizî@seqizî@ADJ
شاهانە,شاهانە,şahane,şahane,ADJ,ADJ,«شاهانە»[ADJ],گۆلکاری یانەی شاهانە,619,شاهانە@شاهانە@ADJ,şahane@şahane@ADJ
شەهید,شەهید,şehîd,şehîd,ADJ,ADJ,«شەهید»[ADJ]{Gradable=No},زوممار: 4 پێشمەرگە شەهید و دووانیش بریندار بوون,629,شەهید@شەهید@ADJ,şehîd@şehîd@ADJ
عەرەب,عەرەب,’ereb,’ereb,ADJ,ADJ,«عەرەب»[ADJ]{NE=Ethnic},"خەڵکی عەرەب بە خەباتی ئاشتیخوازانە، شوناسی خۆیان بە دنیای دەرەوە نیشان دەدەن.",641,عەرەب@عەرەب@ADJ,’ereb@’ereb@ADJ
فەلەستینی,فەلەستینی,felestînî,felestînî,ADJ,ADJ,«فەلەستینی»[ADJ]{NE=Demonym},"ئەگەر نوێنەرانی حەماس لە شانزەهەمین کۆبوونەوەی وڵاتانی بێ لایەن لە تاران بەشداری بکەن، ئەوا دەسەڵاتی فەلەستینی لە بەشداری کردن خۆ دەبوێرێ.",657,فەلەستینی@فەلەستینی@ADJ,felestînî@felestînî@ADJ
قارەمان,قارەمان,qareman,qareman,ADJ,ADJ,«قارەمان»[ADJ],«ڕوستەم عەلی» ناسراو بە «قارەمان» شەهید بوو,664,قارەمان@قارەمان@ADJ,qareman@qareman@ADJ
کاریگەر,کاریگەر,karîger,karîger,ADJ,ADJ,«کاریگەر»[ADJ],وەرگێڕان وەک ڕێگاچارەیەکی کاریگەر لە بەرچاو دەگیردرێت,689,کاریگەر@کاریگەر@ADJ,karîger@karîger@ADJ
